1,16,2,1,1,0,0,0,0
2,13,1,3,1,2,0,0,0
3,12,2,3,1,2,0,0,0
4,12,0,4,1,2,1,0,0
5,11,2,5,0,2,0,0,0
6,14,2,1,1,2,0,0,0
7,13,2,3,1,1,0,0,0
8,13,1,3,1,2,0,0,0
9,12,1,3,1,2,1,0,0
10,11,3,2,0,2,0,1,1
11,0,0,8,2,5,1,2,2
12,5,1,5,1,5,1,1,1
13,2,2,8,0,3,1,2,2
14,3,1,3,1,5,1,3,3
15,0,0,8,2,7,1,1,1
16,4,2,1,1,2,0,5,5
17,4,2,1,1,2,0,5,5
18,4,0,6,2,3,1,2,2
19,3,1,3,1,7,1,2,2
20,2,0,7,1,7,1,1,1
21,5,1,2,0,3,1,4,4
22,3,1,7,1,3,1,2,2
23,2,0,8,2,5,1,1,1
24,3,3,4,0,2,0,4,4
25,0,0,7,1,8,2,1,1
26,0,2,5,1,6,0,3,3
27,0,0,6,2,7,1,2,2
28,0,3,2,0,1,0,7,7
29,1,1,3,1,5,1,4,4
30,1,1,7,1,3,1,3,3
31,1,1,6,2,6,0,2,2
32,1,1,3,1,7,1,3,3
33,0,0,6,2,7,1,2,2
34,1,1,9,1,5,1,1,1
35,1,1,6,0,8,2,1,1
